LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(sec),(sec),(sec),(micron),(micron),(micron),(micron),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(micron/sec),(quality),(micron),(micron),,(micron/sec),,(rad/sec)
Track_128,128,128,721,0,0,0,0,0,86400.0,0.0,86400.0,104.34223078908452,180.79661535756267,266.09200326038444,0.0,0.004860461489700252,0.05677209305358975,1.163834637186434E-4,0.004175996320827383,0.0038172913547506243,0.8994427823491301,419.9438727101019,104.53180098389845,0.24846708707931228,0.0012076647082069967,0.24846708707931237,0.012309805081916298
Track_131,131,131,721,0,0,0,0,0,86400.0,0.0,86400.0,50.72529158469341,480.72368612413226,539.8040773649743,0.0,0.005106711477335799,0.07725963069164095,9.616646780096522E-5,0.004018452141049101,0.005403006311719463,0.9056850366718064,441.21987164181314,51.36432429004522,0.1149660177270364,5.870982822302478E-4,0.11496601772703642,0.013548914281134933
Track_135,135,135,721,0,0,0,0,0,86400.0,0.0,86400.0,84.47820124698947,542.5647223744903,430.85452801405614,0.0,0.004967090741280233,0.04301583205089129,5.4658451082540363E-5,0.004269694598295979,0.003896665854839793,0.9008790914294789,429.156640046613,85.35895519221104,0.1968470096089247,9.77756958877193E-4,0.1968470096089251,0.01268660893304264
Track_136,136,136,721,0,0,0,0,0,86400.0,0.0,86400.0,67.53232766674864,504.94589355143836,225.66605630691478,0.0,0.004325532736587843,0.030521649243262037,1.9373816016928213E-4,0.003695637733908973,0.0031165432987347004,0.9086455863987027,373.72602844118956,69.0234986230659,0.1807000918518462,7.816241628095908E-4,0.18070009185184618,0.01383061954022807
Track_139,139,139,721,0,0,0,0,0,86400.0,0.0,86400.0,109.37575254437871,373.2993249002317,386.18118089553957,0.0,0.004789964494309276,0.037227022609378276,3.8283217689641865E-5,0.004016871399222221,0.0037274511061585643,0.9056855292988221,413.8529323083211,110.90268619140141,0.26428652307552963,0.0012659230618562352,0.26428652307552947,0.013164335549897335
Track_140,140,140,721,0,0,0,0,0,86400.0,0.0,86400.0,31.050869533775337,332.134166354136,262.8108436765208,0.0,0.004616614537828597,0.04563290776013891,1.2659683976861544E-4,0.003915729670802296,0.003738278642521369,0.91033137266249,398.8754960683911,51.428217013153365,0.07784601922112398,3.5938506404832566E-4,0.07784601922112404,0.014162155639509021
Track_141,141,141,721,0,0,0,0,0,86400.0,0.0,86400.0,41.93170378433212,541.4569362999513,193.38201940252154,0.0,0.005042139279076777,0.14663245323437452,8.117194514204376E-5,0.0038853978643019313,0.006682683417233021,0.9072884925526158,435.6408337122333,58.822649366346944,0.09625292337042608,4.853206456519921E-4,0.09625292337042603,0.013146470888278541
Track_145,145,145,721,0,0,0,0,0,86400.0,0.0,86400.0,51.52705847307719,615.1597648059743,160.91808550129082,0.0,0.004650216253961147,0.07171936692443795,2.1155939773416304E-4,0.003908728376903337,0.004503057663497341,0.9144229297829732,401.778684342243,63.68572490628299,0.1282473672226609,5.963779915865415E-4,0.12824736722266086,0.012938834675708215
Track_146,146,146,721,0,0,0,0,0,86400.0,0.0,86400.0,76.83092699156461,155.5584747609588,556.3780430240585,0.0,0.00535454958922933,0.11419587322174803,1.057113110313783E-4,0.004244811611511463,0.005662749938783829,0.8818096409392919,462.63308450941344,76.83092699156461,0.1660731356319617,8.892468401801459E-4,0.16607313563196144,0.013011070692503056
Track_151,151,151,721,0,0,0,0,0,86400.0,0.0,86400.0,43.284728693171864,438.85521624739465,612.0620594109137,0.0,0.004524587652618242,0.11371254650025692,2.3309856266959453E-4,0.003740193951337599,0.005239462061075568,0.9120826332645178,390.92437318621603,47.95971718010694,0.1107240470589775,5.009806561709707E-4,0.1107240470589775,0.013987955352191186
